feature,importance
Payments_per_year,0.25346176753117255
Payment_frequency_Monthly,0.23200630037733772
Monthly_mandatory_direct_debit,0.2234608076982313
Payment_frequency_Annually,0.19179726639983743
Customer_contract_count,0.007749733703401689
Customer_type_Enterprise,0.0072447108724885525
Customer_type_Physical person,0.006678633314772637
Payment_frequency_Semi-annually,0.006468980761533643
Customer_age_No age,0.006211687969062531
Annual_premium_log1p,0.006023450233214616
Annual_premium,0.005703427222295302
Broker_contract_count,0.00567947344059618
Broker_region_WAL,0.005573078933327695
Customer_region_WAL,0.004860758475996646
Product_type_A01 - TA/PRIVE,0.004487595533596649
Customer_segment_Retail,0.004301624582395346
Payment_frequency_Quarterly,0.003739970287813859
Customer_age_S = +69,0.0021588295269298237
Broker_cor,0.0018369375822708046
Customer_region_FLA,0.0017865594567078376
Customer_segment_Midcorp,0.0015554295679718446
Broker_region_FLA,0.0014589127971195812
Customer_segment_SME,0.0013574418418092979
Customer_age_D = 40-69,0.0012632602387747543
Customer_age_C = 30-39,0.0012246098395267677
Line_of_business_A - Motor,0.001163212094977488
Customer_region_BRU,0.0005740701805116813
Customer_province_BRU,0.0005547673495830939
Customer_province_WHT,0.0005202062331644324
Broker_region_BRU,0.00045732094568169435
Broker_province_WNA,0.00037798018355022063
Broker_province_BRU,0.00037497617101772413
Line_of_business_N - Accident,0.00037491118285791735
Broker_province_WHT,0.0003618690435678787
Broker_urbanization_Urban,0.00035415762583001863
Broker_urbanization_Rural,0.0003337771507623285
Broker_province_VWV,0.0003133973528151637
Line_of_business_E - Liability,0.0003102418562218445
Customer_urbanization_Urban,0.00029467721974921034
Customer_urbanization_Rural,0.00029395967393467336
Product_type_I01 - HABITAT.,0.00027571554813176084
Line_of_business_I - Property,0.00027448353455243146
Customer_province_WNA,0.0002614343605420939
Product_type_N05 - IND CIRC,0.00024390291185903752
Customer_province_VWV,0.00023009581606680887
Line_of_business_P - Liability,0.00021317420556171758
Same_customer_broker_province,0.00020725255110525028
Product_type_A08 - TRPT AGR,0.00020308702481264832
Same_customer_broker_region,0.00020237131832724094
Customer_province_VLI,0.00019460926684585256
Broker_province_VLI,0.00019295499149047805
Broker_province_WLG,0.00018961531657973437
Product_type_P01 - FAMILY P,0.00017954755285994953
Customer_province_WLG,0.0001683840639881123
Product_type_A02 - TA/PROF.,0.00016313282770307548
Customer_age_B = 25-29,0.00016304989126002926
Broker_province_WBR,0.00015848618869178857
Broker_province_VOV,0.0001544658392190078
Customer_province_WBR,0.00015337648362344212
Broker_province_VAN,0.00014107541740722898
Customer_province_VAN,0.00013663711112209045
Customer_province_VOV,0.0001303257804667495
"Product_type_A03 - <= 3,5 T",0.00011652205229003276
Customer_province_VBR,8.759116753393931e-05
Broker_province_PTS,6.78295727653616e-05
Product_type_A06 - MOTO,5.812691719048244e-05
Broker_province_VBR,5.580490049027167e-05
Product_type_A05 - CYCLO,5.5418199503525926e-05
Product_type_E16 - Liabilit,5.4909718082939775e-05
Product_type_E04 - RC ENTR.,4.3620960697791724e-05
Line_of_business_R - Engineering,4.143001812846043e-05
Product_type_N06 - IND PRIV,4.034716464170196e-05
Product_type_E06 - Liabilit,3.7661311695664515e-05
Product_type_N01 - COMPLETE,3.7541058195658536e-05
Product_type_I12 - Commerce,3.433261264696141e-05
Product_type_I22 - BIZ PLAN,3.299318046760192e-05
Customer_age_A = 18-24,3.0224498370803502e-05
Line_of_business_D - Property,2.162734476877922e-05
Product_type_A09 - TAXI/LOC,2.070238103701808e-05
Product_type_R07 - RESTART,1.9053732007678165e-05
Product_type_A15 - FLOTTE,1.7551438882887777e-05
Product_type_I04 - AGRICOLE,1.7114867419088783e-05
Product_type_D01 - RISQ IND,1.2530822373784254e-05
Product_type_E01 - RC OBJ.,9.166231954141458e-06
Product_type_N02 - IND JEUN,9.153518478465612e-06
"Product_type_A04 - > 3,5 T",8.534556224954965e-06
Product_type_A11 - > 12 T,8.378429783351918e-06
Product_type_E30 - RC PROF.,8.337081129425154e-06
Product_type_I13 - Horeca,7.598461513042786e-06
Product_type_E31 - D&O Plan,7.01245790749842e-06
Product_type_I05 - BUILDING,6.904451979457199e-06
Product_type_P06 - RC ENSGN,6.282842901163621e-06
Product_type_I23 - BIZ PLAN,6.039370174184729e-06
Product_type_I28 - BIZ PLAN,5.7455700884249924e-06
Product_type_R01 - BRIS MAC,5.3003456462484065e-06
Product_type_I18 - Bureaux,5.214807326334764e-06
Product_type_A07 - MARCHAND,3.194091364039876e-06
Product_type_P20 - RC BATO,2.6485872634159707e-06
Product_type_I02 - COMM.ART,2.348406589659623e-06
Product_type_I03 - HORECA,2.012975504436133e-06
Product_type_R10 -,1.875010382770094e-06
Product_type_P16 - ASSOC.&G,9.71494763958429e-07
Product_type_P19 - RC MADIV,8.061432300146985e-07
Product_type_I11 - HP Xpert,3.892065879528788e-07
Product_type_I82 - Biz Solu,2.856834139280088e-07
Product_type_R04 - RSQ CHAN,2.8211896146930673e-07
Product_type_I72 - BIZ PLAN,2.724549818285316e-07
Product_type_I83 - Biz Sol.,2.090053759306939e-07
Product_type_I08 - BUR/PROF,5.6187746597934896e-08
Product_type_N07 - IND.COLL,5.497548378481466e-08
Product_type_P98 - RC DIVER,2.2472311846847408e-08
Product_type_E32 - Cyber Pl,1.868711434082981e-08
Product_type_I98 - DIVERS,0.0
Product_type_A10 - BUS-CAR,0.0
Product_type_I73 - BIZ PLAN,0.0
Product_type_R03 - MONT.ESS,0.0
Product_type_P11 - RC GARDE,0.0
Product_type_P02 - RC MED.D,0.0
Product_type_P03 - RC PARAM,0.0
Product_type_P17 - RC ECOLE,0.0
Product_type_P14 - RC GRD.C,0.0
Product_type_P13 - RC ORG.C,0.0
Product_type_P24 - RC CPARA,0.0
